"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2013-02-26,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-02-26,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-02-26,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-02-26,6,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-02-26,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-02-26,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-02-28,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-28,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-02-28,3,225,,20,,"225 lb || 20 reps","159"
"Barbell Squat",2013-03-03,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-03,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-03,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-03,4,205,,3,,"205 lb || 3 reps","85"
"Barbell Squat",2013-03-03,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2013-03-03,6,320,,5,,"320 lb || 5 reps","229"
"Barbell Squat",2013-03-03,7,320,,5,,"320 lb || 5 reps","229"
"Barbell Squat",2013-03-03,8,320,,5,,"320 lb || 5 reps","229"
"Barbell Squat",2013-03-05,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-05,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-05,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-05,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-03-05,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-03-05,6,325,,3,,"325 lb || 3 reps","190"
"Barbell Squat",2013-03-05,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-05,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-08,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-08,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-08,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-08,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-03-08,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2013-03-08,6,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-08,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-08,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-09,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-09,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-09,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-09,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-03-09,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2013-03-09,6,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-09,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-09,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-11,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-11,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-03-11,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-03-11,4,195,,3,,"195 lb || 3 reps","79"
"Barbell Squat",2013-03-11,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2013-03-11,6,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-11,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2013-03-11,8,315,,5,,"315 lb || 5 reps","222"
